"test_id","status","test_group","query","expected_aoi_ids","expected_nudge_type","expected_nudge_options","expected_clarification","expected_text","difficulty","behaviour","lineage","verify_query","verified"
"ch-aoi-043","ready","aoi-acronyms","Show me DR Congo","COD","","","","","hard","select","ADR-001; 'Congo' search surfaces COG (Republic of the Congo) before COD - wrong-Congo risk","Congo","prod-api 2026-09-01"
"ch-aoi-044","ready","aoi-acronyms","Take me to Suomi","FIN","","","","","hard","select","endonym (stored Finland)","Finland","prod-api 2026-09-01"
"ch-aoi-045","ready","aoi-acronyms","Take me to Cymru","GBR.4","","","","","hard","select","SPEC-PR8 discarded aliases (stored Wales); Welsh endonym","Wales","prod-api 2026-09-01"
"ch-aoi-046","ready","aoi-acronyms","Show me Kwanza Norte","AGO.6","","","","","medium","select","SPEC-PR8 (stored Cuanza Norte); trigram already surfaces it for 'Kwanza Norte', so selection can succeed","Cuanza Norte|Kwanza Norte","prod-api 2026-09-01"
"ch-aoi-047","ready","aoi-acronyms","Go to South Korea","KOR","","","","","easy","select","control","South Korea","prod-api 2026-09-01"
"ch-aoi-048","ready","aoi-acronyms","Show me Holland","NLD","","","","","medium","select","colloquial name","Netherlands","prod-api 2026-09-01"
"ch-aoi-049","ready","aoi-multilingual","Go to the state of Sao Paulo","BRA.25","","","","","medium","select","diacritics","Sao Paulo|São Paulo","prod-api 2026-09-01"
"ch-aoi-050","ready","aoi-multilingual","Show me São Paulo state","BRA.25","","","","","medium","select","diacritics","São Paulo","prod-api 2026-09-01"
"ch-aoi-051","ready","aoi-multilingual","Zoom to Köln","DEU.10.24","","","","","hard","select","bare Koln search returns zero rows (short query vs long stored names); GEOCODER translates Koln to Cologne which is NOT the stored name","Köln|Cologne","prod-api 2026-09-01"
"ch-aoi-052","ready","aoi-multilingual","Покажи мне Москву","RUS.43","","","","","hard","select","ADR-001 transliteration; RUS.44 Moskva oblast is the near-miss alternative","Moscow|Moskva","prod-api 2026-09-01"
"ch-aoi-053","ready","aoi-multilingual","Show me Москва on the map","RUS.43","","","","","hard","select","ADR-001 transliteration; RUS.44 Moskva oblast is the near-miss alternative","Moscow|Moskva","prod-api 2026-09-01"
"ch-aoi-054","ready","aoi-multilingual","Vai para o estado do Pará","BRA.14","","","","","medium","select","Portuguese prompt","Pará","prod-api 2026-09-01"
"ch-aoi-055","ready","aoi-multilingual","Muéstrame Andalucía","ESP.1","","","","","medium","select","Spanish prompt","Andalucía|Andalucia","prod-api 2026-09-01"
"ch-aoi-056","ready","aoi-multilingual","Go to Para in Brazil","BRA.14","","","","","hard","select","ADR-001 accent trap confirmed live: BRA.16 Parana outranks BRA.14 Para in candidates","Para, Brazil","prod-api 2026-09-01"
"ch-aoi-057","ready","aoi-multilingual","Show me Paraná state in Brazil","BRA.16","","","","","medium","select","control for accent trap","Paraná","prod-api 2026-09-01"
"ch-aoi-058","ready","aoi-multilingual","Take me to Odémira","PRT.3.11","","","","","medium","select","GEOCODER_PROMPT example","Odemira","prod-api 2026-09-01"
"ch-aoi-059","ready","aoi-multilingual","Go to Bern, Schweiz","CHE.6","","","","","medium","select","GEOCODER_PROMPT example; district CHE.6.3 same name also plausible","Bern","prod-api 2026-09-01"
"ch-aoi-060","ready","aoi-multilingual","Show me Parque Nacional Botum Sakor","478405","","","","","hard","select","SPEC-PR8: more specific scores worse in any language","Botum Sakor","prod-api 2026-09-01"
"ch-aoi-061","ready","aoi-multilingual","青森県を表示して","JPN.3","","","","","hard","select","Japanese prompt (Aomori)","Aomori","prod-api 2026-09-01"
"ch-aoi-062","ready","aoi-multilingual","Go to Deutschland","DEU","","","","","medium","select","endonym","Germany","prod-api 2026-09-01"
"ch-aoi-063","ready","aoi-multilingual","Show me Côte d'Ivoire","CIV","","","","","medium","select","control (stored name)","Côte d'Ivoire","prod-api 2026-09-01"
"ch-aoi-064","ready","aoi-data-quality","Go to England","GBR.1","","","","","hard","select","PZB-1270 Bug 1 confirmed live: top-8 candidates for England are all 'NA, England' junk districts","England","prod-api 2026-09-01"
"ch-aoi-065","ready","aoi-data-quality","Show me Scotland","GBR.3","","","","","easy","select","control (name intact)","Scotland","prod-api 2026-09-01"
"ch-aoi-066","ready","aoi-data-quality","Take me to Wales","GBR.4","","","","","easy","select","control","Wales","prod-api 2026-09-01"
"ch-aoi-067","ready","aoi-data-quality","Go to Northern Ireland","GBR.2","","","","","easy","select","control","Northern Ireland","prod-api 2026-09-01"
"ch-aoi-068","ready","aoi-data-quality","Show me County Cork","IRL.4","","","","","hard","select","SPEC-PR7: IRL.4 row is named 'NA, Ireland'; only child districts carry Cork in their names","Cork","prod-api 2026-09-01"
"ch-aoi-069","ready","aoi-data-quality","Zoom to Zuid-Holland","NLD.14","","","","","hard","select","SPEC-PR7 confirmed live: NLD.14 row is named 'NA, Netherlands'","Zuid-Holland","prod-api 2026-09-01"
"ch-aoi-070","ready","aoi-data-quality","Show me South Holland","NLD.14","","","","","hard","select","exonym + NA name","South Holland","prod-api 2026-09-01"
"ch-aoi-071","ready","aoi-data-quality","Go to the city of Bristol in England","GBR.1.12.1","","","","","hard","select","municipality row 'Bristol, NA, England, United Kingdom' (NA hierarchy noise)","Bristol","prod-api 2026-09-01"
"ch-aoi-072","ready","aoi-ambiguity","Take me to Puri","","aoi_choice","Uíge, Angola;Odisha, India","","","medium","nudge","gold 1-105 pattern","Puri","prod-api 2026-09-01"
"ch-aoi-073","ready","aoi-ambiguity","Go to Santiago","","aoi_choice","","","","hard","nudge","SPEC-PR5 B","Santiago","prod-api 2026-09-01"
"ch-aoi-074","ready","aoi-ambiguity","Show me Georgia","","aoi_choice","","","","hard","nudge","undocumented: country-level picks never nudge (tool.py:308)","Georgia","prod-api 2026-09-01"
"ch-aoi-075","ready","aoi-ambiguity","Go to Paris","FRA.8.3","","","","","medium","select","negative control: only one gadm Paris (FRA.8.3); should select, not nudge, despite USA wdpa noise","Paris","prod-api 2026-09-01"
"ch-aoi-076","ready","aoi-ambiguity","Take me to Córdoba","","aoi_choice","","","","medium","nudge","ESP vs ARG","Córdoba","prod-api 2026-09-01"
"ch-aoi-077","ready","aoi-ambiguity","Go to Punjab","","aoi_choice","","","","medium","nudge","IND vs PAK","Punjab","prod-api 2026-09-01"
"ch-aoi-078","ready","aoi-ambiguity","Show me La Rioja","","aoi_choice","","","","medium","nudge","ESP vs ARG","La Rioja","prod-api 2026-09-01"
"ch-aoi-079","ready","aoi-ambiguity","Go to Victoria","AUS.10","","","","","medium","select","negative control: other Victoria rows are landmarks or 'Lake Victoria'/'Villa Victoria', so duplicate check should not fire","Victoria","prod-api 2026-09-01"
"ch-aoi-080","ready","aoi-ambiguity","Zoom to Amazonas","","aoi_choice","Peru;Brazil;Colombia;Venezuela","","","hard","nudge","four gadm states share the leaf name (PER.1, BRA.4, COL.1, VEN.1) - confirmed live","Amazonas","prod-api 2026-09-01"
"ch-aoi-081","ready","aoi-ambiguity","Take me to San José","","aoi_choice","","","","hard","nudge","CRI vs USA vs others","San José|San Jose","prod-api 2026-09-01"
"ch-aoi-082","ready","aoi-multi","Compare Ecuador and Bolivia","ECU;BOL","","","","","easy","select","fixture-backed","Ecuador|Bolivia","prod-api 2026-09-01"
"ch-aoi-083","ready","aoi-multi","Show me Kenya, Uganda and Tanzania","KEN;UGA;TZA","","","","","easy","select","baseline","Uganda|Tanzania","prod-api 2026-09-01"
"ch-aoi-084","ready","aoi-multi","Show me California and Oregon together","USA.5;USA.38","","","","","medium","select","baseline","Oregon","prod-api 2026-09-01"
"ch-aoi-085","ready","aoi-multi","Show me both Oregon and Washington","USA.38;USA.48","","","","","hard","select","PZB-909 WDPA crowding regression","Washington","prod-api 2026-09-01"
"ch-aoi-086","ready","aoi-multi","Compare the Serengeti and the Maasai Mara","916;1297","","","","","hard","select","wdpa 916 + wdpa 1297; kba twins of both exist, so a kba/wdpa mix triggers the multiple-sources rejection","Maasai Mara|Masai Mara","prod-api 2026-09-01"
"ch-aoi-087","ready","aoi-multi","Show me Yellowstone and Wyoming together","","","","","Acknowledges that it cannot combine Yellowstone (a protected area) and Wyoming (a state) in a single selection, and explains the limitation or asks the user how to proceed","hard","decline","mixed sources rejected by design (tool.py check_aoi_selection)","Wyoming","prod-api 2026-09-01"
"ch-aoi-088","ready","aoi-multi","Compare Brazil with the state of São Paulo","BRA;BRA.25","","","","","medium","select","parent-child pair","São Paulo","prod-api 2026-09-01"
"ch-aoi-089","ready","aoi-multi","Show me France, Germany and Italy","FRA;DEU;ITA","","","","","easy","select","baseline","France|Italy","prod-api 2026-09-01"
"ch-aoi-090","ready","aoi-multi","Compare Pará and Paraná","BRA.14;BRA.16","","","","","hard","select","accent pair in one query","Pará|Paraná","prod-api 2026-09-01"
"ch-aoi-091","ready","aoi-multi","Show me Sumatra and Borneo","","","","TRUE","Explains that Sumatra and Borneo are islands rather than selectable administrative areas, or asks which provinces the user means; does not substitute unrelated areas","hard","clarify","islands not GADM units","Sumatra|Borneo","prod-api 2026-09-01"
"ch-aoi-092","ready","aoi-expansion","Show me all the provinces of Canada","CAN.1;CAN.2;CAN.3;CAN.4;CAN.5;CAN.6;CAN.7;CAN.8;CAN.9;CAN.10;CAN.11;CAN.12;CAN.13","","","","","medium","select","13 level-1 rows structural","Canada","structural"
"ch-aoi-093","ready","aoi-expansion","Show me all the states of Brazil","BRA.1;BRA.2;BRA.3;BRA.4;BRA.5;BRA.6;BRA.7;BRA.8;BRA.9;BRA.10;BRA.11;BRA.12;BRA.13;BRA.14;BRA.15;BRA.16;BRA.17;BRA.18;BRA.19;BRA.20;BRA.21;BRA.22;BRA.23;BRA.24;BRA.25;BRA.26;BRA.27","","","","","medium","select","fixture-backed 27 states","Brazil","structural"
"ch-aoi-094","ready","aoi-expansion","Show me the four countries of the United Kingdom","GBR.1;GBR.2;GBR.3;GBR.4","","","","","hard","select","PZB-1270 Bug 2 live","United Kingdom","structural"
"ch-aoi-095","todo","aoi-expansion","Show me every district in Wales","","","","","","hard","select","GBR.4.x ids need DB or smoke run","Wales districts","todo"
"ch-aoi-096","ready","aoi-expansion","Show me all the provinces of Rwanda","RWA.1;RWA.2;RWA.3;RWA.4;RWA.5","","","","","medium","select","5 provinces confirmed via prod api","Rwanda","structural"
"ch-aoi-097","ready","aoi-expansion","Show me all counties in Kenya","KEN.1;KEN.2;KEN.3;KEN.4;KEN.5;KEN.6;KEN.7;KEN.8;KEN.9;KEN.10;KEN.11;KEN.12;KEN.13;KEN.14;KEN.15;KEN.16;KEN.17;KEN.18;KEN.19;KEN.20;KEN.21;KEN.22;KEN.23;KEN.24;KEN.25;KEN.26;KEN.27;KEN.28;KEN.29;KEN.30;KEN.31;KEN.32;KEN.33;KEN.34;KEN.35;KEN.36;KEN.37;KEN.38;KEN.39;KEN.40;KEN.41;KEN.42;KEN.43;KEN.44;KEN.45;KEN.46;KEN.47","","","","","medium","select","47 counties; pin ids from smoke run","Kenya counties","structural"
"ch-aoi-098","todo","aoi-expansion","Show me all the KBAs in Rwanda","","","","","","hard","select","kba expansion; ids need DB or smoke run","Rwanda KBAs","todo"
"ch-aoi-099","todo","aoi-expansion","Show me the protected areas of Bhutan","","","","","","hard","select","wdpa expansion; ids need DB or smoke run","Bhutan PAs","todo"
"ch-aoi-100","ready","aoi-expansion","Show me all the districts within Serengeti National Park","","","","","Explains that it cannot list administrative districts within Serengeti National Park; does not return a list of unrelated districts from around the world","hard","decline","self-documented defect: non-GADM parent + admin subregion (tool.py:142)","Serengeti","prod-api 2026-09-01"
"ch-aoi-101","todo","aoi-expansion","Show me the regions of New Zealand","","","","","","medium","select","NZL level-1 count to confirm","New Zealand regions","todo"
"ch-aoi-102","ready","aoi-global","Show me all countries in the world","","","","","Confirms that all countries in the world have been selected","medium","select","global path","(global)","prod-api 2026-09-01"
"ch-aoi-103","ready","aoi-global","Show me every country on Earth","","","","","Confirms that all countries in the world have been selected","medium","select","global path","(global)","prod-api 2026-09-01"
"ch-aoi-104","ready","aoi-global","Go to Globe in Arizona","","","","","States that it cannot find Globe, Arizona; must not return a global-selection error or a worldwide selection","hard","decline","is_global_request substring hijack (global_queries.py:31); Globe not in GADM (US stops at county level)","Globe","prod-api 2026-09-01"
"ch-aoi-105","ready","aoi-global","Take me to Earth in Texas","","","","","States that it cannot find Earth, Texas; must not treat the request as a global selection","hard","decline","substring hijack probe; Earth (city) not in GADM","Earth","prod-api 2026-09-01"
"ch-aoi-106","ready","aoi-global","Show me the Great Barrier Reef World Heritage Area","","","","","Selects the Great Barrier Reef Marine Park (any section) and must not return a global-selection error or a worldwide selection","hard","select","substring hijack probe ('world'); WDPA rows are section-suffixed (2628_A..E) so aoi_ids needs the future aoi_ids_any check","Great Barrier Reef","prod-api 2026-09-01"
"ch-aoi-107","ready","aoi-global","Show me all the states in the world","","","","","Explains that worldwide selection is only available at country level, or asks the user to narrow the request; does not select an arbitrary set of states","medium","decline","global supports country only","(global)","prod-api 2026-09-01"
"ch-aoi-108","todo","aoi-vague","Go to Lahti city in Finland","","","","","","hard","select","ADR-001 wrong resolution level","Lahti","todo"
"ch-aoi-109","ready","aoi-vague","Show me the North-West region of Russia","","","","TRUE","Asks the user to clarify which area they mean rather than substituting a district of Moscow or another wrong area","hard","clarify","PZB-571 confirmed live: 'North-Western, Moscow City' rows are the top candidates","North-West Russia","prod-api 2026-09-01"
"ch-aoi-110","ready","aoi-vague","Go to North Kalimantan","IDN.35","","","","","hard","select","ADR-001 (stored Kalimantan Utara); IDN.35 does reach the candidate list via trigram overlap","Kalimantan Utara|North Kalimantan","prod-api 2026-09-01"
"ch-aoi-111","ready","aoi-vague","Show me the French Alps","","","","TRUE","Asks the user to clarify (for example which departments or region) rather than selecting an unrelated area","hard","clarify","vague mountain region","French Alps","prod-api 2026-09-01"
"ch-aoi-112","ready","aoi-vague","Take me to the north of Madagascar","","","","TRUE","Asks the user to clarify which administrative area in northern Madagascar they mean","medium","clarify","relative direction","MDG","prod-api 2026-09-01"
"ch-aoi-113","ready","aoi-vague","Go to the capital city of Botswana","BWA.4","","","","","hard","select","indirect reference requiring world knowledge (Gaborone)","Gaborone","prod-api 2026-09-01"
"ch-aoi-114","ready","aoi-vague","Show me the largest state in Brazil","BRA.4","","","","","hard","select","indirect reference (Amazonas)","Amazonas, Brazil","prod-api 2026-09-01"
"ch-aoi-115","ready","aoi-vague","Go to my region","","","","TRUE","Asks the user where they are or which region they mean; does not guess","easy","clarify","no location context","","prod-api 2026-09-01"
"ch-aoi-116","ready","aoi-concepts","Show me the Amazon","","","","TRUE","Explains that the Amazon is not a selectable administrative area and asks the user to specify countries or states instead; does not substitute a small similarly named area","hard","clarify","ADR-001 concept class","Amazon","prod-api 2026-09-01"
"ch-aoi-117","ready","aoi-concepts","Go to the Amazon rainforest","","","","TRUE","Explains it cannot select the Amazon rainforest as a region and asks the user to specify administrative areas; does not substitute a wrong area","hard","clarify","ADR-001","Amazon","prod-api 2026-09-01"
"ch-aoi-118","ready","aoi-concepts","Show me the Cerrado","","","","TRUE","Explains that the Cerrado biome is not a selectable area and asks for countries or states instead; does not silently select a small KBA with Cerrado in its name","hard","clarify","PZB-638/PZB-605","Cerrado","prod-api 2026-09-01"
"ch-aoi-119","ready","aoi-concepts","Take me to the Congo Basin","","","","TRUE","Explains that the Congo Basin is not a selectable area and asks the user to specify countries instead; does not substitute a wrong area","hard","clarify","ADR-001 watershed class","Congo Basin","prod-api 2026-09-01"
"ch-aoi-120","ready","aoi-concepts","Show me the Colombian coastline","","","","TRUE","Asks the user to clarify (for example which coastal departments) rather than silently selecting all of Colombia or an unrelated area","hard","clarify","ADR-001 false-positive class","Colombia","prod-api 2026-09-01"
"ch-aoi-121","ready","aoi-concepts","Go to the Levant","","","","TRUE","Explains that the Levant is not a selectable area and asks the user to specify countries instead","hard","clarify","SPEC-PR5 D","Levant","prod-api 2026-09-01"
"ch-aoi-122","ready","aoi-concepts","Show me Amazônia Legal","","","","TRUE","Explains that Amazônia Legal is not directly selectable and asks the user to specify the member states, or offers them; does not substitute a wrong area","hard","clarify","SPEC-PR5 D","Amazonia Legal","prod-api 2026-09-01"
"ch-aoi-123","ready","aoi-concepts","Take me to the Mata Atlântica","","","","TRUE","Explains that the Mata Atlântica biome is not a selectable area and asks for administrative areas instead","hard","clarify","SPEC-PR5 D","Mata Atlantica","prod-api 2026-09-01"
"ch-aoi-124","ready","aoi-concepts","Show me the Sahel","","","","TRUE","Explains that the Sahel is not a selectable area and asks the user to specify countries instead","hard","clarify","trap confirmed: gadm BFA.12 is literally named 'Sahel, Burkina Faso'","Sahel","prod-api 2026-09-01"
"ch-aoi-125","ready","aoi-concepts","Go to the miombo woodlands","","","","TRUE","Explains that miombo woodland is a biome rather than a selectable area and asks for countries or regions instead","hard","clarify","ADR-001 biome class","Miombo","prod-api 2026-09-01"
"ch-aoi-126","ready","aoi-concepts","Show me the Coral Triangle","","","","TRUE","Explains that the Coral Triangle is not a selectable area and asks the user to specify countries instead","hard","clarify","concept class","Coral Triangle","prod-api 2026-09-01"
"ch-aoi-127","ready","aoi-concepts","Take me to the Arctic","","","","TRUE","Explains that the Arctic is not a selectable area and asks the user to specify countries or regions instead","hard","clarify","trap confirmed: ATA (Antarctica) appears in candidates for 'Arctic'","Arctic","prod-api 2026-09-01"
"ch-aoi-128","ready","aoi-concepts","Go to 9.5N, 79.5W","","","","","Explains that it cannot select an area from raw coordinates and asks for a place name instead; does not substitute an unrelated area","hard","decline","coordinates unsupported","","prod-api 2026-09-01"
"ch-aoi-129","ready","aoi-concepts","Show me the area at latitude 51.5, longitude -0.13","","","","","Explains that it cannot select an area from coordinates and asks for a place name instead","hard","decline","coordinates unsupported","","prod-api 2026-09-01"
"ch-aoi-130","ready","aoi-concepts","Take me to Wakanda","","","","","States that it cannot find a place named Wakanda and does not select any other area instead","medium","decline","fictional place; trap confirmed: Wakiso, Uganda appears in candidates","Wakanda","prod-api 2026-09-01"
"ch-aoi-131","ready","aoi-concepts","Go to Middle Earth","","","","","States that it cannot find a place named Middle Earth and does not select any other area; must not treat the query as a global selection","hard","decline","fictional + 'earth' global hijack probe (global_queries.py:31); trap confirmed: Middle Karelia, Finland in candidates","Middle Earth","prod-api 2026-09-01"
